Job title,Company,location,job type
AI Test Engineer,"Mohandessin, Giza, Egypt ",Wakeb Data -,Full Time
AI/ Machine Learning Sr. Engineer,"Cairo, Egypt ",MIGRATIONIT -,Full Time
AI Engineer,"Cairo, Egypt ",Ewa  -,Full Time
"AI-Augmented Software Developer, Skyvera (Remote) - $200,000/year USD","Dubai, United Arab Emirates ",Crossover -,Full Time
"Cloud Solution Architecture Manager-AI, Data and App Innovation","Dubai, United Arab Emirates ",Microsoft -,Full Time
"AI Sales Specialist III, Google Cloud","Dubai, United Arab Emirates ",Google -,Full Time
Manager- Technology Consulting- Data & AI- UAE,"Abu Dhabi, United Arab Emirates ",Genai -,Full Time
Principal Consultant Generative AI,"Dubai, United Arab Emirates ",Dell Technologies -,Full Time
Cloud Solution Architect - Azure AI and Machine Learning,"Dubai, United Arab Emirates ",Microsoft -,Full Time
Senior AI Engineer (Computer Vision Focus),"Sheikh Zayed, Giza, Egypt ",Lumin -,Full Time
"Artificial Intelligence Engineer, Skyvera (Remote) - $200,000/year USD","Cairo, Egypt ",Crossover -,Full Time
"AI Leader, Energy & Utilities, MEA","Dubai, United Arab Emirates ",Oracle -,Full Time
Research Engineer,"Cairo, Egypt ",Ewa  -,Full Time
Second Level Technical Support Engineer,"Maadi, Cairo, Egypt ",3D Diagnostix -,Full Time
Machine Learning Engineer,"Cairo, Egypt ",Block Gemini -,Full Time
